delegate,voting_power
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,2860173.2020594976
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,2386150.301276685
0x429f9ada43e9f345cbb85ec88681bb70df808892,2176231.998165281
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,1649733.7956763671
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,1043752.204154223
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,1010132.8704527332
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,980924.2285442982
0xa6e8772af29b29b9202a073f8e36f447689beef6,931571.02040628
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,885972.4622646534
0x45a10f35befa4ab841c77860204b133118b7ccae,759437.9851347264
0x8f73be66ca8c79382f72139be03746343bf5faa0,721438.4046877676
0x6cea573473348367a5f66e0f261bfa25799e6a60,633011.0369074132
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,509593.9178741094
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,484948.92047563527
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,469262.2285420336
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,452960.5263286053
0x13838884271ec954cb036d0b29d404afab5eae2a,450695.8316608177
0xdb5781a835b60110298ff7205d8ef9678ff1f800,443202.7217812584
0x7ae109a63ff4dc852e063a673b40bed85d22e585,422624.71940410166
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,382087.5195300634
0xd23199f1222c418ffc74c385171330b21b16e452,337868.8991895247
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,325163.21704709216
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,324702.7362828305
0x9e26e1b35164afb1332592af393edf5f2a2c7f51,266319.0032321399
0xf9551c66995ed3ff9bb05c9fd7ff148bd75dc99a,253585.52775222727
0xdab0d648a2a771e6952916a822dddf738b535f5a,249945.4610115928
0xb7abf554aefd4686639afcf2a653adfda3d9b038,240985.541263244
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,233572.7573402872
0x62a43123fe71f9764f26554b3f5017627996816a,226040.522707589
0x7899d9b1181cbb427b0b1be0684c096c260f7474,200248.920191438
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,189491.02132796208
0x94db037207f6fb697dbd33524aadffd108819dc8,177032.56847096133
0x062a07cbf4848fda67292a96a5e02c97e402233f,170119.94678793673
0x0331969e189d63fbc31d771bb04ab44227d748d8,163408.0437069712
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,153912.52463006703
0x70d95a4e6f514149af97de9a107d12bf1cf57169,152495.36018026446
0xeef440ea127a0aabf70601c6c68c425c29d02018,149031.28233744155
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,143848.9498475052
0x1372eda77df5a048db8af4db3d8680ff56388824,131399.86982565242
0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,128053.18486371568
0x0f9457824adb0649f57b91f21fcaf598b7ed9230,125470.40092902402
0x523d007855b3543797e0d3d462cb44b601274819,122406.30919398557
0xf3f527b70af6012f328d3ede7fcd3f5f3ca6cba2,101380.59995895153
0xfc61965861b679c5aa728d41fa6ea0b29544f554,98726.36673520104
0x7ad41e9d6e1fa47f1f6bcc63bd0327009590a47b,94393.87356382988
0xb55a948763e0d386b6defcd8070a522216ae42b1,91288.47004731628
0x1d1a13b16667c284b87de62caeeff0ce89e342b2,88013.71745181
0xf417ace7b13c0ef4fcb5548390a450a4b75d3eb3,87154.16842206818
0x4ac799e9b0e252bc45d499857c84809a5a444ae0,71455.31195729793
0x6fc69da059944b4895d65f385b9a26b1285cab88,69004.47598585961
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,58589.83219116842
0xdf629daa1e3a099d4c87d7ba855e9561d2300032,53651.933804541455
0xfd4f24676ed4588928213f37b126b53c07186f45,52134.12494988857
0x8c580556fdb1f57853e49f409ae9b89f7658e7a2,50413.247827624735
0xd0214b7e8a7821a5cb07024bc00d64ece8cc1067,44740.587723591416
0xfe950de30f2a8f9fc3cdfaa50c8e9cc99d8136ec,43164.273
0xc540eb6c7b3e44ef8a45db3ad8618404baed88f6,39513.55577314653
0x2345f4e0cdf00d427d773413dd4617d0156c29a9,38958.26310751693
0xc20687cd6fff6bcfe8032fda567c35f55543c2ac,37502.42455418772
0x68d36dcbdd7bbf206e27134f28103abe7cf972df,32431.79950466604
0x2fd8bd701461684957a9d6a9d15f9d5cbf17a58d,29470.02896531759
0x265c328bf0cad7f6fcddd375a4c02754963e3a2e,26817.522231468065
0x7e188fce356695d37f67153aec2112d197ef405c,26024.813493559257
0x84f918ba377cbd0385b4ef28f6b2b6d7e9b54a4b,24129.887135520283
0x2b70952579298fcaed0f67a6e5107576796330d8,23497.78624642955
0xa018feb6840781436e5440de92f91659bce036b6,22489.0887670909
0x33d66941465ac776c38096cb1bc496c673ae7390,21210.555866924777
0xcf2b7c6bc98bfe0d6138a25a3b6162b51f75e05d,20698.45934395376
0x5064fcca51e933d4bb45c92e9ab869cd5428d38b,18644.816689930583
0xaf0939af286a35dbfab7ded7c777a5f6e8be26a8,17925.13894823231
0x2c43a4b7207c0274b7abb1a50520659419a4e446,17854.0735124406
0x066a2edcc0b7278a2cf5bf2a040b4a54a41a9550,17414.971551847688
0x7aef53642e38b4d1d2adcc27fd7e23906a6703a8,17006.705024990028
0xaec80b4fbe227198720b1d1b82a12968baa0b144,17006.705024990028
0x0ef0c89149152f57d42df5e3aed1b9b8305e7e18,16581.659449146606
0x5f367bf126fda56d88ba88a8978d5496c66b3569,15089.03792147741
0x2ebeb7554d97101ce33f2e7b511b236661848fac,15000.0
0x4929f4d38f2955649b5aa34343da04cf790b9d92,14784.682760047815
0x5164cf3b0c8c0fdfe4bcc9cf4f1e8f7e39461a59,14661.3302389265
