delegate,voting_power
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,2359370.990889
0x429f9ada43e9f345cbb85ec88681bb70df808892,1946726.978812865
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,1519865.4129560117
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,1414843.319184018
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,940820.551725188
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,813057.3106110959
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,809572.02124358
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,764335.9977633103
0xa6e8772af29b29b9202a073f8e36f447689beef6,656260.2602353375
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,633824.3935415602
0x45a10f35befa4ab841c77860204b133118b7ccae,594697.3636696412
0x8f73be66ca8c79382f72139be03746343bf5faa0,523724.4493213796
0x6cea573473348367a5f66e0f261bfa25799e6a60,523650.5112908917
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,437734.0248069114
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,366366.5028972179
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,365277.51621462
0x7ae109a63ff4dc852e063a673b40bed85d22e585,337178.8359407758
0x13838884271ec954cb036d0b29d404afab5eae2a,325321.850749867
0xdb5781a835b60110298ff7205d8ef9678ff1f800,299394.7827227751
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,279119.6199630507
0x62a43123fe71f9764f26554b3f5017627996816a,276772.8755570071
0x9e26e1b35164afb1332592af393edf5f2a2c7f51,266319.0032321399
0x9b7df3a2df61e72df5c4d565a0e017d7c5c6e532,240132.6074658227
0x01e6b50557ef1a2ca58a621998ace3f278e808b8,233206.43998937696
0xd23199f1222c418ffc74c385171330b21b16e452,225980.77250492
0x406b607644c5d7bfda95963201e45a4c6ab1c159,222399.9818999641
0xdab0d648a2a771e6952916a822dddf738b535f5a,204182.11385796487
0xb7abf554aefd4686639afcf2a653adfda3d9b038,175112.877517252
0x512fce9b07ce64590849115ee6b32fd40ec0f5f3,173684.94706028947
0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,151054.72964297852
0x7899d9b1181cbb427b0b1be0684c096c260f7474,148149.60649703164
0x94db037207f6fb697dbd33524aadffd108819dc8,136470.19197826137
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,133789.98314862285
0x523d007855b3543797e0d3d462cb44b601274819,133252.09250493566
0xfc61965861b679c5aa728d41fa6ea0b29544f554,132684.17622852023
0x062a07cbf4848fda67292a96a5e02c97e402233f,130650.6688237183
0xf9551c66995ed3ff9bb05c9fd7ff148bd75dc99a,130471.09943456984
0x4f41877773e44f2275da1942fee898556821bf66,128469.14802184537
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,121958.1040401942
0xeef440ea127a0aabf70601c6c68c425c29d02018,113620.7297810666
0x0331969e189d63fbc31d771bb04ab44227d748d8,107952.83883196612
0x0f9457824adb0649f57b91f21fcaf598b7ed9230,103420.07991106756
