date,HHI,CPI
26-05-2022,0,36.59
27-05-2022,10000,2371.41
28-05-2022,10000,2371.41
29-05-2022,10000,2371.41
30-05-2022,10000,2371.41
31-05-2022,624.17,211.55
01-06-2022,352.25,143.7
02-06-2022,365.84,147.23
03-06-2022,357.33,144.18
04-06-2022,365.04,146.21
05-06-2022,364.77,146.38
06-06-2022,364.58,146.65
07-06-2022,360.93,145.89
08-06-2022,356.62,144.62
09-06-2022,354.6,145.06
10-06-2022,344.13,141.24
11-06-2022,341.09,141.68
12-06-2022,337.38,140.75
13-06-2022,335.9,140.5
14-06-2022,332.8,140.02
15-06-2022,332.87,140.11
16-06-2022,333.72,140.38
17-06-2022,330.89,139.76
18-06-2022,332.38,140.24
19-06-2022,328.68,139.24
20-06-2022,331.23,139.92
21-06-2022,332.45,140.28
22-06-2022,329.69,139.59
23-06-2022,328.58,139.37
24-06-2022,326.95,139.02
25-06-2022,330.26,139.93
26-06-2022,331.03,140.17
27-06-2022,330.55,140.05
28-06-2022,331.2,140.15
29-06-2022,331.29,140.25
30-06-2022,330.17,139.96
01-07-2022,334.51,140.97
02-07-2022,335.86,141.3
03-07-2022,336.04,141.33
04-07-2022,336.83,141.51
05-07-2022,337.55,141.64
06-07-2022,337.95,141.76
07-07-2022,337.58,141.65
08-07-2022,336.25,141.25
09-07-2022,332.79,140.41
10-07-2022,332.74,140.34
11-07-2022,729.53,227.07
12-07-2022,736.56,228.79
13-07-2022,332.15,140.08
14-07-2022,331.24,139.89
15-07-2022,332.11,140.16
16-07-2022,330.65,139.78
17-07-2022,331.67,140.05
18-07-2022,333.84,140.85
19-07-2022,333.28,140.74
20-07-2022,329.8,139.92
21-07-2022,331.9,140.51
22-07-2022,331.85,140.45
23-07-2022,335.58,141.54
24-07-2022,334.96,141.68
25-07-2022,337.8,142.06
26-07-2022,367.62,148.25
27-07-2022,335.94,141.8
28-07-2022,339.82,142.88
29-07-2022,349.37,145.52
30-07-2022,347.24,145.01
31-07-2022,348.45,145.46
01-08-2022,350.61,146.17
02-08-2022,351.59,146.33
03-08-2022,360.08,148.65
04-08-2022,357.57,147.93
05-08-2022,363.11,149.3
06-08-2022,364.53,149.74
07-08-2022,365.86,150.1
08-08-2022,359.74,148.43
09-08-2022,356.76,147.67
10-08-2022,358.47,148.12
11-08-2022,355.5,147.37
12-08-2022,351.86,146.4
13-08-2022,355.91,147.56
14-08-2022,356.43,147.73
15-08-2022,353.37,146.99
16-08-2022,349.63,145.98
17-08-2022,352.01,146.73
18-08-2022,352.98,146.85
19-08-2022,352.3,146.67
20-08-2022,354.11,147.14
21-08-2022,353.17,146.88
22-08-2022,354.06,147.11
23-08-2022,355.38,147.45
24-08-2022,954.43,279.63
25-08-2022,345.64,145.81
26-08-2022,345.73,145.78
27-08-2022,340.82,144.49
28-08-2022,339.05,144.09
29-08-2022,338.46,143.8
30-08-2022,339.2,143.96
31-08-2022,339.36,143.99
01-09-2022,339.31,143.94
02-09-2022,334.94,142.78
03-09-2022,336.15,143.14
04-09-2022,335.72,142.99
05-09-2022,336.77,143.22
06-09-2022,334.84,142.71
07-09-2022,338.6,142.84
08-09-2022,338.76,142.84
09-09-2022,342.66,143.93
10-09-2022,340.11,143.27
11-09-2022,340.45,143.29
12-09-2022,341.56,143.52
13-09-2022,343.17,143.94
14-09-2022,341.7,143.47
15-09-2022,341.13,143.4
16-09-2022,341.18,143.37
17-09-2022,341.53,143.45
18-09-2022,344.69,144.34
19-09-2022,343.52,144.07
20-09-2022,343.22,144.02
21-09-2022,344.17,144.26
22-09-2022,344.35,144.21
23-09-2022,344.15,144.13
24-09-2022,343.57,143.98
25-09-2022,344.21,144.15
26-09-2022,343.89,144.04
27-09-2022,343.6,143.95
28-09-2022,343.43,143.85
29-09-2022,345.14,144.26
30-09-2022,345.96,144.5
01-10-2022,348.89,145.32
02-10-2022,353.4,146.54
03-10-2022,383.77,154.66
04-10-2022,360.3,148.52
05-10-2022,351.85,146.23
06-10-2022,351.33,146.17
07-10-2022,350.8,146.27
08-10-2022,350.27,145.92
09-10-2022,349.78,145.76
10-10-2022,349.53,145.63
11-10-2022,345.36,144.52
12-10-2022,345.69,144.61
13-10-2022,345.06,144.47
14-10-2022,344.98,144.43
15-10-2022,344.6,144.34
16-10-2022,344.49,144.33
17-10-2022,365.99,147.09
18-10-2022,366.12,147.18
19-10-2022,377.63,150.26
20-10-2022,376.07,149.84
21-10-2022,376.09,149.87
22-10-2022,375.17,149.64
23-10-2022,371.68,148.62
24-10-2022,369.34,147.91
25-10-2022,370.99,148.28
26-10-2022,371.9,148.52
27-10-2022,371.87,148.43
28-10-2022,372.53,148.61
29-10-2022,373.34,148.9
30-10-2022,374.08,149.05
31-10-2022,373.8,148.92
01-11-2022,375.5,149.42
02-11-2022,374.91,149.27
03-11-2022,375.72,149.38
04-11-2022,374.78,149.15
05-11-2022,352.29,142.93
06-11-2022,352.47,142.97
07-11-2022,350.9,142.64
08-11-2022,364.1,146.42
09-11-2022,362.49,146.13
10-11-2022,363.95,146.5
11-11-2022,367.7,147.41
12-11-2022,365.82,146.87
13-11-2022,365.72,146.81
14-11-2022,366.82,147.15
15-11-2022,366.7,147.13
16-11-2022,367.03,147.16
17-11-2022,365.37,146.84
18-11-2022,365.78,146.9
19-11-2022,365.82,146.91
20-11-2022,366.1,146.95
21-11-2022,365.1,146.67
22-11-2022,364.88,146.58
23-11-2022,365.37,146.73
24-11-2022,365.42,146.75
25-11-2022,366.74,147.09
26-11-2022,365.51,146.76
27-11-2022,359.74,146.16
28-11-2022,359.04,145.96
29-11-2022,357.1,145.39
30-11-2022,357.26,145.42
01-12-2022,363.36,147.09
02-12-2022,360.65,146.31
03-12-2022,361.52,146.54
04-12-2022,361.93,146.61
05-12-2022,362.47,146.75
06-12-2022,362.11,146.73
07-12-2022,363.06,146.94
08-12-2022,360.63,146.32
09-12-2022,361.73,146.69
10-12-2022,362.01,146.76
11-12-2022,363.16,147.05
12-12-2022,361.05,146.46
13-12-2022,362.5,146.81
14-12-2022,361.86,146.6
15-12-2022,361.16,146.44
16-12-2022,359.87,145.99
17-12-2022,359.29,145.88
18-12-2022,358.6,145.73
19-12-2022,359.7,146.02
20-12-2022,356.94,145.26
21-12-2022,356.91,145.23
22-12-2022,359.05,145.75
23-12-2022,359.49,145.88
24-12-2022,358.11,145.46
25-12-2022,356.96,145.12
26-12-2022,357.84,145.35
27-12-2022,357.92,145.35
28-12-2022,358.49,145.43
29-12-2022,357.15,145.09
30-12-2022,357.82,145.27
31-12-2022,359.11,145.57
01-01-2023,360.76,145.98
02-01-2023,363.19,146.66
03-01-2023,363.19,146.66
04-01-2023,363.27,146.71
05-01-2023,362,146.3
06-01-2023,364.04,146.9
07-01-2023,364.28,146.96
08-01-2023,365.16,147.22
09-01-2023,366.64,147.66
10-01-2023,364.05,147.08
11-01-2023,365.53,147.42
12-01-2023,364.76,147.23
13-01-2023,364.69,147.18
14-01-2023,367.25,147.86
15-01-2023,369.39,148.46
16-01-2023,365.32,147.36
17-01-2023,366.78,147.64
18-01-2023,364.81,147.05
19-01-2023,363.67,146.74
20-01-2023,365.79,147.27
21-01-2023,368.56,146.95
22-01-2023,368.67,146.94
23-01-2023,368.14,146.72
24-01-2023,369.4,147.06
25-01-2023,370.54,147.29
26-01-2023,370.45,158.38
27-01-2023,371.96,158.62
28-01-2023,371.76,158.62
29-01-2023,373.24,158.94
30-01-2023,373.23,159.03
31-01-2023,373.31,159.02
01-02-2023,378.45,160.08
02-02-2023,377.9,160.58
03-02-2023,376.3,159.84
04-02-2023,375.71,159.69
05-02-2023,363.2,156.3
06-02-2023,363.95,156.38
07-02-2023,352.44,152.49
08-02-2023,352.31,152.54
09-02-2023,311.26,143.19
10-02-2023,316.87,144.76
11-02-2023,329.68,148.08
12-02-2023,330.51,148.08
13-02-2023,324.66,146.11
14-02-2023,326.42,146.61
15-02-2023,326.47,146.43
16-02-2023,253.64,128.21
17-02-2023,256.92,130.92
18-02-2023,257.18,130.98
19-02-2023,257.62,131.03
20-02-2023,258.54,131.19
21-02-2023,253.09,129.4
22-02-2023,255.69,130.07
23-02-2023,256.96,130.39
24-02-2023,259.31,130.96
25-02-2023,259.13,130.84
26-02-2023,260.33,131.12
27-02-2023,254.53,129.2
28-02-2023,260.44,130.34
01-03-2023,259.51,130.09
02-03-2023,260.51,130.36
03-03-2023,261.19,130.56
04-03-2023,262.3,130.83
05-03-2023,262.6,130.91
06-03-2023,262.6,130.98
07-03-2023,264.42,131.36
08-03-2023,268.29,132.17
09-03-2023,270.4,132.75
10-03-2023,272.55,133.28
11-03-2023,272.39,133.2
12-03-2023,274.74,133.71
13-03-2023,275.75,133.85
14-03-2023,276.54,134.01
15-03-2023,277.5,134.21
16-03-2023,278.16,134.45
17-03-2023,278.05,134.46
18-03-2023,277.96,134.4
19-03-2023,278.46,134.52
20-03-2023,279.49,134.74
21-03-2023,279.92,134.83
22-03-2023,279.79,134.79
